"	""Cryders Point 0.4 mile NNW of"""," ""ACT3341""",-73.7987,40.8003
"    ""Bronx-Whitestone Bridge East of"""," ""ACT3346""",-73.8267,40.8017
"    ""Clason Point"""," ""ACT3351""",-73.8468,40.7997
"    ""College Point Reef"""," ""ACT3356""",-73.8547,40.801
"    ""Flushing Creek ent."""," ""ACT3361""",-73.8450,40.765
"    ""Rikers I. chan. off La Guardia Field"""," ""ACT3366""",-73.8833,40.7833
"    ""Bronx River (1 mile north of Hunts Pt.)"""," ""ACT3371""",-73.8750,40.815
"    ""Hunts Point (southwest of)"""," ""ACT3376""",-73.8833,40.8
"    ""South Brother Island (NW of)"""," ""ACT3381""","	-73.9017",40.7967
"    ""Off Winthrop Ave. Astoria"""," ""ACT3386""",-73.9167,40.7867
"    ""Mill Rock (NE of)"""," 	""ACT3391""","	-73.9367",40.7817
"    ""Mill Rock (W of)"""," 	""ACT3396""",-73.9417,40.78
"    ""Hell Gate(off Mill Rock)"""," 	""ACT3401""",-73.9383,40.7783
"    ""Roosevelt Island (W of) off 75th Street"""," ""ACT3406""",-73.9500,40.7667
"    ""Roosevelt Island (E of) off 36th Avenue"""," ""ACT3411""",-73.9500,40.7667
"    ""Roosevelt Island (W of) off 67th Street"""," ""ACT3416""",-73.9540,40.7623
"    ""Roosevelt Island (W of) off 63rd Street"""," ""ACT3421""",-73.9545,40.7597
"    ""Roosevelt Island (E of)"""," ""ACT3426""",-73.9513,40.7582
"    ""Manhattan off 31st Street""","""ACT3431""",-73.9695,40.7397
"	""Newtown Creek entrance"""," ""ACT3436""",-73.9500,40.7333
"    ""Pier 67 (off 19th Street)"""," ""ACT3441""",-73.9667,40.7333
"    ""Williamsburg Bridge (0.3 mile N of)"""," ""ACT3446""",-73.9707,40.718
"    ""Manhattan Bridge (E of)"""," ""ACT3451""",-73.9900,40.7083
"    ""Brooklyn Bridge"""," ""ACT3456""",-73.9975,40.706
"    ""Brooklyn Bridge (0.1 mile SW of)"""," ""ACT3461""",-74.0000,40.7033
"    ""Buttermilk Channel"""," ""ACT3471"""," 	-74.0135",40.6858
